Feature,Key
 Leverage (ROE / ROA),Ratio1
 Equity + Allowances Losses / Loans,Ratio2
 Productive Assets / Int. Bearing Liab.,Ratio3
 Allowances / G. Loans,Ratio4
 Prov. Exp. /  Gross Loans (Anualizado),Ratio5
 NII / Productive Assets (Trimestre Anualizado),Ratio6
 Non-Interest Expenses / Total Income,Ratio7
 Non-Interest Income / Total Income,Ratio8
 Return on Assets (Trimestre Anualizado),Ratio9
 Net Margin del Trimestre,Ratio10
 Asset Turnover Anualizado,Ratio11
 Return on Equity,Ratio12
 Liquid Assets / Total Assets,Ratio13
 Total Gross Loans / Total Deposits,Ratio14
 Total Deposits / Total Liabilities,Ratio15
 Leverage (ROE / ROA) LTM,Ratio16
 Equity + Allowances Losses / Loans LTM,Ratio17
 Productive Assets / Int. Bearing Liab. LTM,Ratio18
 Allowances / G. Loans LTM,Ratio19
 Prov. Exp. /  Gross Loans (Anualizado) LTM,Ratio20
 NII / Productive Assets (Trimestre Anualizado) LTM,Ratio21
 Non-Interest Expenses / Total Income LTM,Ratio22
 Non-Interest Income / Total Income LTM,Ratio23
 Return on Assets (Trimestre Anualizado) LTM,Ratio24
 Net Margin del Trimestre LTM,Ratio25
 Asset Turnover Anualizado LTM,Ratio26
 Return on Equity LTM,Ratio27
 Liquid Assets / Total Assets LTM,Ratio28
 Total Gross Loans / Total Deposits LTM,Ratio29
 Total Deposits / Total Liabilities LTM,Ratio30
Rating Soberano,SovereignRating
