Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,Ratio27,Ratio28,Ratio29,Ratio30,IssuerRating,SovereignRating
30/09/2012,BASE:BHIP,4.533514669,0.412546817,1.147710598,0.027960454,0.01247098,0.111837493,0.759597252,0.390456881,2.0588,0.157109112,0.129636296,9.3336,0.14091271,1.220530212,0.592279236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B,B
31/12/2012,BASE:BHIP,4.568896275,0.381231857,1.225656888,0.027419413,0.009310719,0.118767224,0.721189862,0.361568646,2.8884,0.208182119,0.137328966,13.1968,0.162016609,1.252259853,0.637335487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-,B-
31/03/2013,BASE:BHIP,4.762045231,0.387025016,1.079389969,0.028135494,0.030299288,0.111924622,0.687370736,0.393387399,2.034,0.145057855,0.132614777,9.686,0.178495499,1.010475709,0.693244629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-,B-
30/06/2013,BASE:BHIP,4.844940548,0.368845589,1.113311345,0.027545074,0.013214185,0.088083712,0.781396102,0.518583368,1.6484,0.121404882,0.138200305,7.9864,0.124644767,1.207807122,0.65332679,4.677349181,0.38741232,1.1415172,0.027765109,0.016323793,0.107653263,0.737388488,0.415999073,2.1574,0.157938492,0.134445086,10.0507,0.151517396,1.172768224,0.644046536,B-,B-
30/09/2013,BASE:BHIP,4.967985884,0.341639543,1.064553184,0.025458462,0.021901751,0.147104547,0.628229434,0.372203829,3.1736,0.184493458,0.161362237,15.7664,0.117010364,1.179995281,0.63600071,4.785966984,0.369685501,1.120727846,0.027139611,0.018681486,0.116470026,0.704546533,0.41143581,2.4361,0.164784579,0.142376571,11.6589,0.14554181,1.162634491,0.654976904,CCC,CCC
31/12/2013,BASE:BHIP,5.20881479,0.316067329,1.085377966,0.023123052,0.024214309,0.139583995,0.694341227,0.405118986,2.4232,0.139467042,0.171229268,12.622,0.100884039,1.236462935,0.656812317,4.945946613,0.353394369,1.085658116,0.02606552,0.022407383,0.121674219,0.697834375,0.422323395,2.3198,0.147605809,0.150851647,11.5152,0.130258667,1.158685262,0.659846112,CCC,CCC
31/03/2014,BASE:BHIP,5.632485457,0.312434339,1.114808154,0.022545132,0.031165473,0.102479132,0.596176225,0.591380553,3.5068,0.186179078,0.171389405,19.752,0.175185954,1.08790596,0.629019801,5.16355667,0.3347467,1.094512662,0.02466793,0.022623929,0.119312846,0.675035747,0.471821684,2.688,0.157886115,0.160545304,14.0317,0.129431281,1.178042825,0.643789904,CCC,CCC
30/06/2014,BASE:BHIP,6.052074441,0.298127336,1.101174347,0.023025771,0.008382061,0.143933144,0.713407352,0.299296626,2.3428,0.151504397,0.151697825,14.1788,0.159637811,1.12787541,0.636683871,5.465340143,0.317067137,1.091478413,0.023538104,0.021415898,0.133275204,0.65803856,0.416999998,2.8616,0.165410994,0.163919684,15.5798,0.138179542,1.158059897,0.639629175,CCC,CCC
30/09/2014,BASE:BHIP,6.508051197,0.303681092,1.146864145,0.024095962,0.022695305,0.148486098,0.686176744,0.312170406,1.9376,0.121205454,0.147582461,12.61,0.209311087,1.033321699,0.58270238,5.850356471,0.307577524,1.112056153,0.023197479,0.021614287,0.133620592,0.672525387,0.401991643,2.5526,0.149588993,0.16047474,14.7907,0.161254723,1.121391501,0.626304592,CCC,CCC
31/12/2014,BASE:BHIP,6.981017464,0.276970657,0.966235854,0.023201852,0.027792997,0.104889389,0.779892555,0.464240533,0.5268,0.037286625,0.139477424,3.6776,0.157578785,0.966543693,0.676971443,6.29340714,0.297803356,1.082270625,0.023217179,0.022508959,0.124946941,0.693913219,0.416772029,2.0785,0.124043889,0.152536779,12.5546,0.175428409,1.053911691,0.631344374,CCC,CCC
31/03/2015,BASE:BHIP,6.86225307,0.285078936,1.072300969,0.023369514,0.027120999,0.132739924,0.684388181,0.404965449,2.2476,0.135159202,0.167735306,15.4236,0.202929404,1.046666006,0.63989024,6.600849043,0.290964505,1.071643829,0.023423274,0.021497841,0.132512138,0.715966208,0.370168253,1.7637,0.11128892,0.151623254,11.4725,0.182364272,1.043601702,0.634061984,CCC,CCC
30/06/2015,BASE:BHIP,6.849766137,0.267752874,1.047070102,0.022387227,0.001118602,0.113842101,0.821038416,0.462616331,2.138,0.130594906,0.157598148,14.6448,0.189725892,1.062439344,0.640667534,6.800271967,0.28337089,1.058117767,0.023263639,0.019681976,0.124989378,0.742873974,0.41099818,1.7125,0.106061547,0.153098335,11.589,0.189886292,1.027242686,0.635057899,CCC,CCC
30/09/2015,BASE:BHIP,7.125019984,0.269322811,1.055810708,0.022264745,0.009807855,0.123675382,0.70770475,0.433660614,2.502,0.146174829,0.164230182,17.8268,0.235935677,1.04E+00,0.621773133,6.954514164,0.274781319,1.035354408,0.022805834,0.016460113,0.118786699,0.748255975,0.441370732,1.8536,0.112303891,0.157260265,12.8932,0.196542439,1.029047112,0.644825588,CCC,CCC
31/12/2015,BASE:BHIP,7.194849723,0.286288726,0.943341462,0.021696533,0.016566338,0.165158918,0.576669482,0.441612902,5.4832,0.248460789,0.21174285,39.4508,0.172979585,1.034519428,0.595056032,7.007972228,0.277110837,1.02963081,0.022429505,0.013653449,0.133854081,0.697450207,0.435713824,3.0927,0.165097432,0.175326622,21.8365,0.20039264,1.046041046,0.624346735,CCC,CCC
31/03/2016,BASE:BHIP,7.209665828,0.307160308,0.998333472,0.022905953,0.017564421,0.10523884,0.736636576,0.526230422,2.2264,0.13905346,0.15550605,16.0516,0.254766791,1.022056607,0.548340006,7.094825418,0.28263118,1.011138936,0.022313615,0.011264304,0.12697881,0.710512306,0.466030067,3.0874,0.166070996,0.172269308,21.9935,0.213351986,1.039888696,0.601459176,B-,CCC
