Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
30/09/2012,IQ417206,0.003900188,0.145954,2.927103145,0.014551258,0.435024095,13.57023769,16.50316003,1.461054486,-8.7732,-0.087527103,0.715755942,5.762089658,-34.6156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
31/12/2012,IQ417206,-0.005390731,0.090505,4.95124203,0.015570437,0.471999224,7.54627338,8.601556992,1.550484562,-3.2067,-0.146807329,0.698468102,7.276703824,-67.8556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
31/03/2013,IQ417206,0.007723073,0.173319,2.744597479,0.017469388,0.482692042,14.11105525,14.24293427,1.490486751,23.9024,-0.073126351,0.692948756,7.84012975,-37.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
30/06/2013,IQ417206,NaN,0.157936,0,NaN,NaN,13.10278385,NaN,NaN,NaN,-0.192745297,NaN,NaN,NaN,0.00207751,0.1419285,2.655735663,0.015863694,0.463238454,12.08258754,13.11588376,1.500675266,3.974166667,-0.12505152,0.702390933,6.959641077,-46.80106667,NaN,AA+
30/09/2013,IQ417206,NaN,0.155512,0,NaN,NaN,7.814759317,NaN,NaN,NaN,0.044119341,NaN,NaN,NaN,0.001166171,0.144318,1.923959877,0.016519912,0.477345633,10.64371795,11.42224563,1.520485657,10.34785,-0.092139909,0.695708429,7.558416787,-52.8938,BB-,AA+
31/12/2013,IQ417206,NaN,0.12623,0,NaN,NaN,9.195176574,NaN,NaN,NaN,-0.113541895,NaN,NaN,NaN,0.007723073,0.15324925,0.68614937,0.017469388,0.482692042,11.05594375,14.24293427,1.490486751,23.9024,-0.08382355,0.692948756,7.84012975,-37.932,BB-,AA+
31/03/2014,IQ417206,0.035329264,0.445795,1.694368284,0.030233693,0.387039639,33.6016788,15.83449445,1.193957517,NaN,0.200227273,0.415638395,3.345804362,NaN,0.035329264,0.22136825,0.423592071,0.030233693,0.387039639,15.92859964,15.83449445,1.193957517,NaN,-0.015485144,0.415638395,3.345804362,NaN,BB-,AA+
30/06/2014,IQ417206,0.006467738,0.207873,3.694726617,0.024835354,0.384913349,14.27340466,9.055741249,1.205383637,30.3138,0.002616907,0.416446535,3.328299953,NaN,0.020898501,0.2338525,1.347273725,0.027534524,0.385976494,16.22125484,12.44511785,1.199670577,30.3138,0.033355407,0.416042465,3.337052157,NaN,BB-,AA+
30/09/2014,IQ417206,0.001086058,0.163289,4.863646779,0.02504184,0.38089954,10.87056496,6.861371446,1.06340819,2.6666,-0.090127238,0.400802739,3.434699753,-12.2332,0.014294353,0.23579675,2.56318542,0.026703629,0.384284176,16.98520625,10.58386905,1.154249781,16.4902,-0.000206238,0.410962556,3.369601356,-12.2332,BB-,AA+
31/12/2014,IQ417206,-0.003323779,0.116349,6.885299725,0.040108434,0.390929454,8.252961083,3.207371972,0.854132636,-9.5321,-0.265128719,0.432235844,3.759246684,-40.7084,0.00988982,0.2333265,4.284510351,0.03005483,0.385945495,16.74965238,8.739744779,1.079220495,7.8161,-0.038102944,0.416280878,3.467012688,-26.4708,BB-,AA+
31/03/2015,IQ417206,0.003263881,0.208283,4.29782657,0.038426295,0.407455137,13.19311515,5.307691711,0.89369287,-56.0286,-0.027046607,0.398988317,3.824504836,-4.0912,0.001873474,0.1739485,4.935374923,0.032102981,0.39104937,11.64751146,6.108044094,1.004154333,-8.145075,-0.094921414,0.412118359,3.586687806,-19.01093333,B+,AA+
30/06/2015,IQ417206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000342053,0.162640333,5.348924358,0.034525523,0.39309471,10.77221373,5.125478376,0.937077899,-20.9647,-0.127434188,0.410675633,3.672817091,-19.01093333,B+,AA+
30/09/2015,IQ417206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.99E-05,0.162316,5.591563147,0.039267365,0.399192295,10.72303812,4.257531842,0.873912753,-32.78035,-0.146087663,0.415612081,3.79187576,-22.3998,B+,AA+
31/12/2015,IQ417206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003263881,0.208283,4.29782657,0.038426295,0.407455137,13.19311515,5.307691711,0.89369287,-56.0286,-0.027046607,0.398988317,3.824504836,-4.0912,B+,AA+
