Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Pure,Rating Local Trad
0.16656394,0.16656394,1.24E-01,1.24E-01,5.30E-02,5.30E-02,0.286369889,0.286369889,2.663985022,2.663985022,0.925145242,0.925145242,0.724282296,0.724282296,0.242551854,0.242551854,25.78478165,25.78478165,1.431375108,1.431375108,-0.325150821,-0.325150821,2.026757113,2.026757113,1.149917556,1.149917556,BBB+,1T16,BB+,BBB-,AA
0.16656394,0.16656394,1.24E-01,1.24E-01,5.30E-02,5.30E-02,0.286369889,0.286369889,2.663985022,2.663985022,0.925145242,0.925145242,7.24E-01,7.24E-01,0.242551854,0.242551854,25.78478165,25.78478165,1.431375108,1.431375108,-0.325150821,-0.325150821,2.026757113,2.026757113,1.149917556,1.149917556,BBB+,2T16,BB+,BBB-,AA
1.67E-01,0.16656394,1.24E-01,1.24E-01,5.30E-02,5.30E-02,0.286369889,0.286369889,2.663985022,2.663985022,0.925145242,0.925145242,7.24E-01,7.24E-01,0.242551854,0.242551854,25.78478165,25.78478165,1.431375108,1.431375108,-0.325150821,-0.325150821,2.026757113,2.026757113,1.149917556,1.149917556,BBB+,3T16,BB+,BBB-,AA
1.67E-01,0.16656394,1.26E-01,1.24E-01,6.06E-02,5.49E-02,0.286369889,0.286369889,2.663985022,2.663985022,0.925145242,0.925145242,7.24E-01,7.24E-01,0.242551854,0.242551854,25.78478165,25.78478165,1.431375108,1.431375108,-3.25E-01,-3.25E-01,2.026757113,2.026757113,1.149917556,1.149917556,BBB+,4T16,BB+,BBB-,AA
1.58E-01,0.158368842,1.26E-01,1.26E-01,6.06E-02,5.68E-02,0.253043788,0.278038364,2.261570301,2.563381341,0.945306672,0.930185599,7.20E-01,7.23E-01,0.188252224,0.228976947,21.87291908,24.80681601,1.714790647,1.502228992,-1.58E-01,-2.83E-01,1.845133287,1.981351156,1.198645106,1.162099443,BBB+,1T17,BB+,BBB-,AA
1.58E-01,0.158368842,1.26E-01,1.26E-01,6.06E-02,5.87E-02,0.253043788,0.269706838,2.261570301,2.462777661,0.945306672,0.935225957,0.720144455,0.722213376,0.188252224,0.215402039,21.87291908,23.82885036,1.714790647,1.573082877,-1.58E-01,-2.42E-01,1.845133287,1.9359452,1.198645106,1.174281331,BBB+,2T17,BB+,BBB-,AA
0.158368842,0.158368842,1.26E-01,1.26E-01,6.06E-02,6.06E-02,2.53E-01,2.61E-01,2.261570301,2.362173981,0.945306672,0.940266314,0.720144455,0.721178915,0.188252224,0.201827132,21.87291908,22.85088472,1.714790647,1.643936762,-1.58E-01,-2.00E-01,1.845133287,1.890539244,1.198645106,1.186463218,BBB+,3T17,BB+,BB+,AA-
0.158368842,0.158368842,0.125992038,0.125992038,0.060639812,0.060639812,0.253043788,0.253043788,2.261570301,2.261570301,0.945306672,0.945306672,0.720144455,0.720144455,0.188252224,0.188252224,21.87291908,21.87291908,1.714790647,1.714790647,-0.158219245,-0.158219245,1.845133287,1.845133287,1.198645106,1.198645106,BBB+,4T17,BB+,BB+,AA-
0.11267012,0.146944161,0.122602724,0.125144709,0.04181133,0.055932691,0.410367892,0.292374814,6.188268432,3.243244834,1.712946147,1.137216541,0.483964374,0.661099435,0.511329997,0.269021667,13.54482205,19.79089482,0.785770466,1.482535602,-0.142329962,-0.154246925,1.586025789,1.780356413,1.037240546,1.158293966,BBB+,1T18,BB+,BB,A+
0.11267012,0.135519481,0.122602724,0.124297381,0.04181133,0.051225571,0.410367892,0.33170584,6.188268432,4.224919367,1.712946147,1.329126409,0.483964374,0.602054414,0.511329997,0.349791111,13.54482205,17.70887056,0.785770466,1.250280557,-0.142329962,-0.150274604,1.586025789,1.715579538,1.037240546,1.117942826,BBB+,2T18,BB+,BB,A+
0.11267012,0.1240948,0.122602724,0.123450053,0.04181133,0.046518451,0.410367892,0.371036866,6.188268432,5.2065939,1.712946147,1.521036278,0.483964374,0.543009394,0.511329997,0.430560554,13.54482205,15.62684631,0.785770466,1.018025511,-0.142329962,-0.146302283,1.586025789,1.650802664,1.037240546,1.077591686,BBB+,3T18,BB+,BB+,AA-
